asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd,fold
UNI,2025-01-23 08:00:00+00:00,12.483,-1.0,10.613756,12.712766642857144,12480.354295859546,3.0,0.9484986066818237,0.9484986066818237,False,8.14,2025-01-28 12:00:00+00:00,False,,,2025-01-23 12:00:00+00:00,12.712766642857144,sl,-245.9424056480936,3
SUI,2025-01-23 20:00:00+00:00,4.3023,1.0,4.792969870248916,4.113465503185964,8197.264994415651,2.0,0.8827024102210999,0.8827024102210999,False,2.6,2025-01-29 00:00:00+00:00,True,4.4304,4.379583311999999,2025-01-24 04:00:00+00:00,4.379583311999999,trailing_sl_hit,136.59311693024267,3
OP,2025-01-25 08:00:00+00:00,1.673,1.0,1.840728551863676,1.6084495993885735,0.0,0.0,0.6862099170684814,0.6862099170684814,False,2.6,2025-01-30 12:00:00+00:00,False,,,2025-01-26 20:00:00+00:00,1.646,mss_invalidation,-0.0,3
UNI,2025-01-26 20:00:00+00:00,11.432,-1.0,9.820668,11.630064214285715,20663.90388220193,5.0,0.9827291965484619,0.9827291965484619,False,8.14,2025-02-01 00:00:00+00:00,True,10.254,10.371613380000001,2025-01-27 04:00:00+00:00,10.371613380000001,trailing_sl_hit,1889.8380440620392,3
UNI,2025-01-27 04:00:00+00:00,10.641,-1.0,8.770931999999998,10.870867928571428,23026.20143727948,5.0,0.9971616268157959,0.9971616268157959,False,8.14,2025-02-01 08:00:00+00:00,True,10.355,10.473771850000002,2025-01-27 08:00:00+00:00,10.473771850000002,trailing_sl_hit,331.9331562391901,3
TRX,2025-01-27 04:00:00+00:00,0.2357,-1.0,0.21707760000000004,0.23798905714285712,9210.480574911791,2.0,0.8985078930854797,0.8985078930854797,False,8.14,2025-02-01 08:00:00+00:00,False,,,2025-01-27 12:00:00+00:00,0.23798905714285712,sl,-101.42341833732443,3
AVAX,2025-01-28 20:00:00+00:00,32.08,-1.0,25.35616,32.90649142857143,13988.603165794088,3.0,0.9530479311943054,0.9530479311943054,False,8.14,2025-02-03 00:00:00+00:00,False,,,2025-01-29 04:00:00+00:00,32.90649142857143,sl,-378.57984166590575,3
ICP,2025-01-31 12:00:00+00:00,9.742,-1.0,8.346035714285716,10.114257142857143,10278.501213408494,3.0,0.9659491777420044,0.9659491777420044,False,3.75,2025-02-05 16:00:00+00:00,True,9.15,9.254950500000001,2025-01-31 20:00:00+00:00,9.254950500000001,trailing_sl_hit,500.50972800992207,3
ADA,2025-02-01 08:00:00+00:00,0.9329,1.0,0.9999701353962491,0.9070880314306339,9386.700387034733,2.0,0.8562052845954895,0.8562052845954895,False,2.6,2025-02-06 12:00:00+00:00,False,,,2025-02-01 20:00:00+00:00,0.9070880314306339,sl,-271.91888089675314,3
APT,2025-02-01 20:00:00+00:00,7.05,-1.0,5.53384,7.236365714285714,13876.111419879535,3.0,0.9552769660949707,0.9552769660949707,False,8.14,2025-02-07 00:00:00+00:00,True,6.86,6.938684200000001,2025-02-02 04:00:00+00:00,6.938684200000001,trailing_sl_hit,201.0575719758604,3
