asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
TRX,2025-12-04 20:00:00+00:00,0.2862,1.0,0.29109563032089414,0.286735,2669.132589855045,2.0,0.8508453965187073,0.8508453965187073,True,2.6,2025-12-10 00:00:00+00:00,2025-12-07 04:00:00+00:00,0.286735,sl,1.519596310939907
SUI,2025-12-06 08:00:00+00:00,1.5232,1.0,1.6575105535862686,1.53113,1313.1919526188817,1.0,0.8300808668136597,0.8300808668136597,True,2.6,2025-12-11 12:00:00+00:00,2025-12-07 16:00:00+00:00,1.6575105535862686,tp,114.47957204506685
APT,2025-12-05 16:00:00+00:00,1.741,-1.0,1.4468320000000003,1.7771590000000002,2626.3839052377634,2.0,0.908504068851471,0.908504068851471,False,8.14,2025-12-10 20:00:00+00:00,2025-12-08 16:00:00+00:00,1.7771590000000002,sl,-57.96192436658073
ATOM,2025-12-07 12:00:00+00:00,2.199,1.0,2.3228807324678415,2.20885,1313.5718516966167,1.0,0.8496828675270081,0.8496828675270081,True,2.6,2025-12-12 16:00:00+00:00,2025-12-09 12:00:00+00:00,2.3228807324678415,tp,72.68653871552303
ICP,2025-12-07 12:00:00+00:00,3.425,1.0,3.81875,3.44825,2955.5366663173877,3.0,0.9319008588790894,0.9319008588790894,True,3.75,2025-12-12 16:00:00+00:00,2025-12-11 00:00:00+00:00,3.44825,sl,16.220934448204694
ADA,2025-12-09 12:00:00+00:00,0.4672,1.0,0.5073441686313316,0.45175050056432103,4037.6186948853565,3.0,0.9296673536300659,0.9296673536300659,False,2.6,2025-12-14 16:00:00+00:00,2025-12-11 00:00:00+00:00,0.45175050056432103,sl,-138.76600136696007
FIL,2025-12-11 12:00:00+00:00,1.374,1.0,1.5127804769227369,1.3205902776666878,2630.47326313086,2.0,0.8752979040145874,0.8752979040145874,False,2.6,2025-12-16 16:00:00+00:00,2025-12-12 12:00:00+00:00,1.392,mss_invalidation,31.04073318322459
ICP,2025-12-12 12:00:00+00:00,3.278,1.0,3.7251071428571434,3.1587714285714283,2976.742833437781,3.0,0.9476238489151001,0.9476238489151001,False,3.75,2025-12-17 16:00:00+00:00,2025-12-14 16:00:00+00:00,3.175,mss_invalidation,-97.40378393975101
TRX,2025-12-12 12:00:00+00:00,0.2751,-1.0,0.26401719999999995,0.27646229285714286,2645.993629722472,2.0,0.8679593205451965,0.8679593205451965,False,8.14,2025-12-17 16:00:00+00:00,2025-12-14 16:00:00+00:00,0.27646229285714286,sl,-16.542729638727877
SUI,2025-12-11 12:00:00+00:00,1.5417,1.0,1.7023831012714328,1.551565,1315.23663156543,1.0,0.8163376450538635,0.8163376450538635,True,2.6,2025-12-16 16:00:00+00:00,2025-12-15 12:00:00+00:00,1.5654,mss_invalidation,18.5088524088673
AVAX,2025-12-12 12:00:00+00:00,12.91,1.0,14.225434581875021,12.403754472362163,2645.993629722472,2.0,0.8909774422645569,0.8909774422645569,False,2.6,2025-12-17 16:00:00+00:00,2025-12-15 12:00:00+00:00,13.23,mss_invalidation,62.146417538618095
ICP,2025-12-14 16:00:00+00:00,3.138,-1.0,2.8255714285714286,3.1199,2912.647919549887,3.0,0.9604961276054382,0.9604961276054382,True,3.75,2025-12-19 20:00:00+00:00,2025-12-18 16:00:00+00:00,2.8255714285714286,tp,287.0792031255015
ATOM,2025-12-15 12:00:00+00:00,2.057,-1.0,1.848116,2.0439,1314.6740039534877,1.0,0.8431860208511353,0.8431860208511353,True,8.14,2025-12-20 16:00:00+00:00,2025-12-18 16:00:00+00:00,1.848116,tp,132.18769091671746
POL,2025-12-18 16:00:00+00:00,0.1023,-1.0,0.084172,0.10452828571428571,1419.4907274640425,1.0,0.8016412854194641,0.8016412854194641,False,8.14,2025-12-23 20:00:00+00:00,2025-12-19 00:00:00+00:00,0.10452828571428571,sl,-32.76450617218572
ICP,2025-12-18 16:00:00+00:00,2.777,-1.0,2.3507857142857143,2.890657142857143,1064.6180455980318,1.0,0.8480307459831238,0.8480307459831238,False,3.75,2025-12-23 20:00:00+00:00,2025-12-19 12:00:00+00:00,2.890657142857143,sl,-44.95672412792266
ADA,2025-12-15 12:00:00+00:00,0.3855,-1.0,0.3403448,0.382825,3944.022011860463,3.0,0.9664993286132812,0.9664993286132812,True,8.14,2025-12-20 16:00:00+00:00,2025-12-20 16:00:00+00:00,0.3755,time,98.36523899619314
TRX,2025-12-21 08:00:00+00:00,0.2857,1.0,0.28997835519347703,0.286225,2849.3034592761273,2.0,0.9082080125808716,0.9082080125808716,True,2.6,2025-12-26 12:00:00+00:00,2025-12-22 08:00:00+00:00,0.286225,sl,1.5317624022058585
POL,2025-12-23 12:00:00+00:00,0.1057,1.0,0.1116811831311793,0.1033981392675367,4275.104010715845,3.0,0.9232001900672913,0.9232001900672913,False,2.6,2025-12-28 16:00:00+00:00,2025-12-25 20:00:00+00:00,0.1057,mss_invalidation,-5.557635213930598
OP,2025-12-23 12:00:00+00:00,0.2654,1.0,0.2842801047592742,0.2581339840936123,2850.06934047723,2.0,0.9179955720901489,0.9179955720901489,False,2.6,2025-12-28 16:00:00+00:00,2025-12-25 20:00:00+00:00,0.2629,mss_invalidation,-30.552013093611663
FIL,2025-12-20 20:00:00+00:00,1.374,-1.0,1.137924,1.4030183571428572,2849.3034592761273,2.0,0.8864564895629883,0.8864564895629883,False,8.14,2025-12-26 00:00:00+00:00,2025-12-26 00:00:00+00:00,1.247,time,260.51426228167594
ICP,2025-12-20 20:00:00+00:00,3.438,-1.0,2.9160000000000004,3.4071000000000002,1068.4887972285478,1.0,0.7909667491912842,0.7909667491912842,True,3.75,2025-12-26 00:00:00+00:00,2025-12-26 00:00:00+00:00,3.038,time,123.24667085705286
POL,2025-12-25 20:00:00+00:00,0.1028,-1.0,0.0928708,0.10402049285714286,4248.021774485188,3.0,0.9630916118621826,0.9630916118621826,False,8.14,2025-12-31 00:00:00+00:00,2025-12-26 00:00:00+00:00,0.10402049285714286,sl,-55.957060921096414
OP,2025-12-25 20:00:00+00:00,0.2521,-1.0,0.21539079999999997,0.25661227857142854,1416.0072581617294,1.0,0.8269641995429993,0.8269641995429993,False,8.14,2025-12-31 00:00:00+00:00,2025-12-26 00:00:00+00:00,0.25661227857142854,sl,-27.185590109908023
ATOM,2025-12-27 20:00:00+00:00,2.08,-1.0,1.8801799999999995,2.104561785714286,2982.3236573773206,2.0,0.915098249912262,0.915098249912262,False,8.14,2026-01-02 00:00:00+00:00,2025-12-28 04:00:00+00:00,2.104561785714286,sl,-39.093941236872816
APT,2025-12-27 08:00:00+00:00,1.732,-1.0,1.4588439999999998,1.7655762142857143,4473.485486065981,3.0,0.9458192586898804,0.9458192586898804,False,8.14,2026-01-01 12:00:00+00:00,2025-12-29 00:00:00+00:00,1.7655762142857143,sl,-92.53764850150719
POL,2025-12-29 00:00:00+00:00,0.1094,-1.0,0.1011188,0.109015,4374.761793762196,3.0,0.9253173470497131,0.9253173470497131,True,8.14,2026-01-03 04:00:00+00:00,2025-12-31 16:00:00+00:00,0.1011188,tp,326.77951029493533
ATOM,2025-12-31 16:00:00+00:00,1.919,-1.0,1.766972,1.9376872142857142,4619.8464264833965,3.0,0.9634611010551453,0.9634611010551453,False,8.14,2026-01-05 20:00:00+00:00,2026-01-01 08:00:00+00:00,1.9376872142857142,sl,-50.99384628396784
FIL,2025-12-28 04:00:00+00:00,1.367,-1.0,1.1638840000000001,1.3919669285714285,2962.7766867588844,2.0,0.9087919592857361,0.9087919592857361,False,8.14,2026-01-02 08:00:00+00:00,2026-01-01 12:00:00+00:00,1.319,mss_invalidation,100.18151464110268
POL,2026-01-01 00:00:00+00:00,0.0992,-1.0,0.0907128,0.10024324285714285,3079.897617655598,2.0,0.9159119129180908,0.9159119129180908,False,8.14,2026-01-06 04:00:00+00:00,2026-01-01 12:00:00+00:00,0.10024324285714285,sl,-36.393798257292026
LINK,2025-12-29 00:00:00+00:00,12.94,-1.0,11.9512,12.917,4374.761793762196,3.0,0.9351688623428345,0.9351688623428345,True,8.14,2026-01-03 04:00:00+00:00,2026-01-02 00:00:00+00:00,12.917,sl,2.0886613880882132
ATOM,2026-01-02 00:00:00+00:00,2.123,-1.0,1.9388360000000002,2.1456373571428573,3087.338883399563,2.0,0.8625147342681885,0.8625147342681885,False,8.14,2026-01-07 04:00:00+00:00,2026-01-02 16:00:00+00:00,2.1456373571428573,sl,-36.93355605691944
TRX,2026-01-02 20:00:00+00:00,0.289,1.0,0.29332092589191955,0.289485,1534.4360526855517,1.0,0.8110579252243042,0.8110579252243042,True,2.6,2026-01-08 00:00:00+00:00,2026-01-03 16:00:00+00:00,0.29332092589191955,tp,21.407378720822617
ARB,2026-01-02 16:00:00+00:00,0.2073,1.0,0.22081619675551195,0.20823000000000003,7672.180263427758,5.0,0.9757971167564392,0.9757971167564392,True,2.6,2026-01-07 20:00:00+00:00,2026-01-05 16:00:00+00:00,0.22081619675551195,tp,492.5627352418544
SUI,2026-01-05 16:00:00+00:00,1.8368,-1.0,1.5603479999999998,1.870781357142857,4988.785743528662,3.0,0.9569929838180542,0.9569929838180542,False,8.14,2026-01-10 20:00:00+00:00,2026-01-05 20:00:00+00:00,1.8368,mss_invalidation,-6.485421466587261
ATOM,2026-01-06 08:00:00+00:00,2.423,-1.0,2.1218279999999994,2.4600199285714286,1661.307225809574,1.0,0.8251757025718689,0.8251757025718689,False,8.14,2026-01-11 12:00:00+00:00,2026-01-06 12:00:00+00:00,2.423,mss_invalidation,-2.159699393552446
TRX,2026-01-03 20:00:00+00:00,0.2956,-1.0,0.285918,0.2967901071428571,3079.5757947315146,2.0,0.906835675239563,0.906835675239563,False,8.14,2026-01-09 00:00:00+00:00,2026-01-07 16:00:00+00:00,0.2967901071428571,sl,-16.40204511731822
ICP,2026-01-02 20:00:00+00:00,3.158,1.0,3.6214999999999997,3.17985,3452.4811185424915,3.0,0.9299312233924866,0.9299312233924866,True,3.75,2026-01-08 00:00:00+00:00,2026-01-08 00:00:00+00:00,3.186,time,27.158497766571454
POL,2026-01-09 00:00:00+00:00,0.1413,-1.0,0.114726,0.1445664642857143,3326.9128282469983,2.0,0.9115987420082092,0.9115987420082092,False,8.14,2026-01-14 04:00:00+00:00,2026-01-09 04:00:00+00:00,0.1413,mss_invalidation,-4.324986676721098
POL,2026-01-09 04:00:00+00:00,0.1486,1.0,0.16364874189944403,0.151095,8311.875837271595,5.0,0.9794002175331116,0.9794002175331116,True,2.6,2026-01-14 08:00:00+00:00,2026-01-10 04:00:00+00:00,0.16364874189944403,tp,833.4329032698981
POL,2026-01-10 04:00:00+00:00,0.1687,1.0,0.19296529811225768,0.15936149026687482,5612.20017981538,3.0,0.967257559299469,0.967257559299469,False,2.6,2026-01-15 08:00:00+00:00,2026-01-12 04:00:00+00:00,0.15936149026687482,sl,-317.96323429097833
AVAX,2026-01-08 04:00:00+00:00,13.9,1.0,14.830169760969879,13.542023793563537,1663.4564141234991,1.0,0.8309904336929321,0.8309904336929321,False,2.6,2026-01-13 08:00:00+00:00,2026-01-12 20:00:00+00:00,13.542023793563537,sl,-45.002624036226216
FIL,2026-01-08 08:00:00+00:00,1.475,1.0,1.6199532281969078,1.419214691857384,4990.369242370498,3.0,0.9584753513336182,0.9584753513336182,False,2.6,2026-01-13 12:00:00+00:00,2026-01-13 12:00:00+00:00,1.566,time,302.8900382530296
ICP,2026-01-12 12:00:00+00:00,3.164,1.0,3.495392857142857,3.19815,4030.2958155728597,3.0,0.9538748264312744,0.9538748264312744,True,3.75,2026-01-17 16:00:00+00:00,2026-01-13 12:00:00+00:00,3.495392857142857,tp,418.0971521786086
TRX,2026-01-10 20:00:00+00:00,0.3024,-1.0,0.292718,0.30359010714285717,5612.20017981538,3.0,0.9509885311126709,0.9509885311126709,False,8.14,2026-01-16 00:00:00+00:00,2026-01-13 16:00:00+00:00,0.30359010714285717,sl,-29.38289568727374
TRX,2026-01-13 20:00:00+00:00,0.3071,1.0,0.31401773849691555,0.3044377055585389,9764.465011880417,5.0,0.9753924012184143,0.9753924012184143,False,2.6,2026-01-19 00:00:00+00:00,2026-01-14 04:00:00+00:00,0.3044377055585389,sl,-97.34336793117434
UNI,2026-01-13 20:00:00+00:00,5.73,1.0,6.101429343911313,5.587055267681549,5858.67900712825,3.0,0.9521515965461731,0.9521515965461731,False,2.6,2026-01-19 00:00:00+00:00,2026-01-15 00:00:00+00:00,5.587055267681549,sl,-153.77113478844245
POL,2026-01-16 04:00:00+00:00,0.1484,1.0,0.1644704386620654,0.14221528522060572,3780.228753392358,2.0,0.909913182258606,0.909913182258606,False,2.6,2026-01-21 08:00:00+00:00,2026-01-16 08:00:00+00:00,0.1485,mss_invalidation,-2.366973421598784
ICP,2026-01-14 16:00:00+00:00,4.416,1.0,5.326607142857143,4.173171428571429,7232.089351474837,5.0,0.9844844341278076,0.9844844341278076,False,3.75,2026-01-19 20:00:00+00:00,2026-01-16 12:00:00+00:00,4.173171428571429,sl,-407.0824058449648
UNI,2026-01-15 20:00:00+00:00,5.35,1.0,5.777622665855488,5.18542924514168,1890.114376696179,1.0,0.7660238742828369,0.7660238742828369,False,2.6,2026-01-21 00:00:00+00:00,2026-01-16 12:00:00+00:00,5.324,mss_invalidation,-11.642751268041536
SUI,2026-01-16 12:00:00+00:00,1.7229,-1.0,1.4265484000000002,1.7593274071428573,1784.841344062528,1.0,0.7947061061859131,0.7947061061859131,False,8.14,2026-01-21 16:00:00+00:00,2026-01-16 16:00:00+00:00,1.7593274071428573,sl,-40.05733148921068
UNI,2026-01-16 12:00:00+00:00,5.167,-1.0,4.385848,5.263018857142857,1784.841344062528,1.0,0.7935856580734253,0.7935856580734253,False,8.14,2026-01-21 16:00:00+00:00,2026-01-16 20:00:00+00:00,5.263018857142857,sl,-35.48817182705773
DOT,2026-01-13 12:00:00+00:00,2.242,-1.0,1.8922119999999996,2.284995785714286,1960.2387262979018,1.0,0.8489170074462891,0.8489170074462891,False,8.14,2026-01-18 16:00:00+00:00,2026-01-18 16:00:00+00:00,2.171,time,60.11690202622279
SUI,2026-01-18 20:00:00+00:00,1.6962,-1.0,1.524808,1.68119,8904.920968700082,5.0,0.9792694449424744,0.9792694449424744,True,8.14,2026-01-24 00:00:00+00:00,2026-01-19 00:00:00+00:00,1.524808,tp,890.8900411038412
TRX,2026-01-17 20:00:00+00:00,0.3188,-1.0,0.3018256,0.31765499999999997,3531.9099364669214,2.0,0.9181342720985413,0.9181342720985413,True,8.14,2026-01-23 00:00:00+00:00,2026-01-20 12:00:00+00:00,0.3018256,tp,184.5234602817386
SUI,2026-01-20 12:00:00+00:00,1.5163,1.0,1.6457787793130383,1.4664700397310524,6149.512707259234,3.0,0.9491718411445618,0.9491718411445618,False,2.6,2026-01-25 16:00:00+00:00,2026-01-20 20:00:00+00:00,1.4991,mss_invalidation,-77.75075942641986
SUI,2026-01-20 20:00:00+00:00,1.4697,-1.0,1.1919295999999997,1.5038434142857142,6091.199637689419,3.0,0.9473333954811096,0.9473333954811096,False,8.14,2026-01-26 00:00:00+00:00,2026-01-21 00:00:00+00:00,1.5038434142857142,sl,-149.42659023364493
ICP,2026-01-19 00:00:00+00:00,3.873,1.0,4.681071428571428,3.657514285714286,0.0,0.0,0.6874880790710449,0.6874880790710449,False,3.75,2026-01-24 04:00:00+00:00,2026-01-21 08:00:00+00:00,3.657514285714286,sl,-0.0
POL,2026-01-16 08:00:00+00:00,0.1446,-1.0,0.11394720000000001,0.14836782857142858,3779.0452666815586,2.0,0.8925971984863281,0.8925971984863281,False,8.14,2026-01-21 12:00:00+00:00,2026-01-21 12:00:00+00:00,0.1399,time,119.05299313859756
APT,2026-01-19 00:00:00+00:00,1.648,-1.0,1.3134559999999997,1.689122,4007.4134080319536,2.0,0.8894389867782593,0.8894389867782593,False,8.14,2026-01-24 04:00:00+00:00,2026-01-24 04:00:00+00:00,1.55,time,234.29751012784845
POL,2026-01-23 12:00:00+00:00,0.1299,1.0,0.14252221208821822,0.125042336603734,4045.612959912089,2.0,0.8652538061141968,0.8652538061141968,False,2.6,2026-01-28 16:00:00+00:00,2026-01-24 20:00:00+00:00,0.126,time,-125.50743392724924
