asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ATOM,2024-12-10 12:00:00+00:00,7.570806503295898,-1.0,4.848248308181763,7.905462148291724,1906.6465438135933,1.0,0.8015996217727661,0.8015996217727661,False,8.14,2024-12-15 16:00:00+00:00,2024-12-10 20:00:00+00:00,7.905462148291724,sl,-86.75896501679951,1
SUI,2024-12-12 00:00:00+00:00,4.8382792472839355,1.0,5.296996802173407,4.659555408613358,9424.784012796968,5.0,0.9948957562446594,0.9948957562446594,False,2.57,2024-12-17 04:00:00+00:00,2024-12-12 12:00:00+00:00,4.659555408613358,sl,-360.3994615143498,1
DOT,2024-12-14 20:00:00+00:00,8.550727844238281,1.0,9.086727715115334,8.593469619750977,5384.570811542418,3.0,0.9492353200912476,0.9492353200912476,True,2.57,2024-12-20 00:00:00+00:00,2024-12-15 12:00:00+00:00,9.086727715115334,tp,332.14567366464405,1
UNI,2024-12-17 12:00:00+00:00,15.684985160827637,-1.0,12.796477653503418,16.04003922162737,3755.786711193934,2.0,0.861819863319397,0.861819863319397,False,8.14,2024-12-22 16:00:00+00:00,2024-12-17 16:00:00+00:00,16.04003922162737,sl,-89.90060273124817,1
AVAX,2024-12-17 20:00:00+00:00,47.84920883178711,-1.0,39.15972328186035,47.21215744018555,1855.418204914155,1.0,0.8382343053817749,0.8382343053817749,True,8.14,2024-12-23 00:00:00+00:00,2024-12-19 16:00:00+00:00,39.15972328186035,tp,335.09121214275496,1
TRX,2024-12-19 16:00:00+00:00,0.2473035305738449,-1.0,0.20496526783704758,0.25250773103854485,1939.1910079498437,1.0,0.8309769034385681,0.8309769034385681,False,8.14,2024-12-24 20:00:00+00:00,2024-12-20 00:00:00+00:00,0.25250773103854485,sl,-43.328852351563434,1
UNI,2024-12-20 00:00:00+00:00,13.118998527526855,1.0,14.592622629889021,12.544850550139966,3856.717589723906,2.0,0.8578100204467773,0.8578100204467773,False,2.57,2024-12-25 04:00:00+00:00,2024-12-20 08:00:00+00:00,12.703798294067383,mss_invalidation,-127.0741203482527,1
SUI,2024-12-20 04:00:00+00:00,3.9836785793304443,1.0,4.370958272908733,3.8327880962048217,5785.076384585858,3.0,0.9614577293395996,0.9614577293395996,False,2.57,2024-12-25 08:00:00+00:00,2024-12-20 08:00:00+00:00,3.9742367267608643,mss_invalidation,-21.23200629208887,1
SUI,2024-12-20 08:00:00+00:00,3.5311813354492188,-1.0,2.343674955368042,3.6771490926401955,5673.846789605603,3.0,0.9331483244895935,0.9331483244895935,False,8.14,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,3.6771490926401955,sl,-241.91470384061458,1
TRX,2024-12-20 08:00:00+00:00,0.2262788563966751,-1.0,0.17945171290636064,0.23203482809130635,5673.846789605603,3.0,0.925545871257782,0.925545871257782,False,8.14,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,0.23203482809130635,sl,-151.70456090809134,1
APT,2024-12-20 12:00:00+00:00,10.699041366577148,1.0,11.967457549324727,10.204845740540664,3585.754894029382,2.0,0.8993624448776245,0.8993624448776245,False,2.57,2024-12-25 16:00:00+00:00,2024-12-21 12:00:00+00:00,10.60775375366211,mss_invalidation,-35.25627892951619,1
APT,2024-12-21 12:00:00+00:00,9.913293838500977,-1.0,5.866925495147705,10.410671639374325,1784.0633772823119,1.0,0.8076782822608948,0.8076782822608948,False,8.14,2024-12-26 16:00:00+00:00,2024-12-26 16:00:00+00:00,8.943765640258789,time,172.69878560361158,1
FIL,2024-12-26 16:00:00+00:00,4.993558883666992,1.0,5.2536448578847175,5.021587944030761,3654.4761473664294,2.0,0.864935040473938,0.864935040473938,True,2.57,2024-12-31 20:00:00+00:00,2024-12-27 12:00:00+00:00,5.021587944030761,sl,15.76191249288112,1
ICP,2024-12-27 16:00:00+00:00,10.318506240844727,1.0,11.61692500114441,9.972261238098145,4120.1517415644785,3.0,0.9668591022491455,0.9668591022491455,False,3.75,2025-01-01 20:00:00+00:00,2024-12-30 12:00:00+00:00,10.25855541229248,mss_invalidation,-29.29440158376576,1
