asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ARB,2023-11-04 20:00:00+00:00,1.0963,-1.0,0.883708,1.1224317142857143,2570.7024180864473,2.0,0.8910030126571655,0.8910030126571655,False,8.14,2023-11-10 00:00:00+00:00,2023-11-06 08:00:00+00:00,1.0808,mss_invalidation,33.00387494400026,1
SUI,2023-11-04 20:00:00+00:00,0.5064,-1.0,0.412258,0.5179718928571428,2570.7024180864473,2.0,0.8538047671318054,0.8538047671318054,False,8.14,2023-11-10 00:00:00+00:00,2023-11-06 12:00:00+00:00,0.5179718928571428,sl,-62.08577757813818,1
OP,2023-11-05 00:00:00+00:00,1.542,1.0,1.6580051532559688,1.4973553701354982,1285.0192932228301,1.0,0.8341802954673767,0.8341802954673767,False,2.6,2023-11-10 04:00:00+00:00,2023-11-07 12:00:00+00:00,1.4973553701354982,sl,-38.874941887076155,1
FIL,2023-11-06 12:00:00+00:00,4.324,-1.0,3.725364,4.397584071428572,2486.9721890935784,2.0,0.9033706784248352,0.9033706784248352,False,8.14,2023-11-11 16:00:00+00:00,2023-11-08 20:00:00+00:00,4.397584071428572,sl,-45.55534395755465,1
LINK,2023-11-08 20:00:00+00:00,14.919,-1.0,11.936532,15.285603642857144,3667.1355692568945,3.0,0.939902663230896,0.939902663230896,False,8.14,2023-11-14 00:00:00+00:00,2023-11-09 12:00:00+00:00,14.804,mss_invalidation,23.500073479420664,1
ARB,2023-11-06 08:00:00+00:00,1.1345,-1.0,0.9282116000000001,1.124595,6295.037694706618,5.0,0.9696670174598694,0.9696670174598694,True,8.14,2023-11-11 12:00:00+00:00,2023-11-09 20:00:00+00:00,1.1057,mss_invalidation,151.61996409300443,1
ARB,2023-11-09 20:00:00+00:00,1.2083,1.0,1.3559351821987888,1.1514825407816174,3798.4755974362133,3.0,0.9656726121902466,0.9656726121902466,False,2.6,2023-11-15 00:00:00+00:00,2023-11-11 00:00:00+00:00,1.1514825407816174,sl,-183.55237923781362,1
LINK,2023-11-09 12:00:00+00:00,15.09,-1.0,11.753212,15.5001565,3684.7606243664595,3.0,0.9610365033149719,0.9610365033149719,False,8.14,2023-11-14 16:00:00+00:00,2023-11-11 12:00:00+00:00,14.985,mss_invalidation,20.849298634213582,1
FIL,2023-11-11 12:00:00+00:00,4.766,1.0,5.3026036538684345,4.8268,3676.448286983513,3.0,0.9276137948036194,0.9276137948036194,True,2.6,2023-11-16 16:00:00+00:00,2023-11-13 00:00:00+00:00,5.3026036538684345,tp,410.2546436252489,1
FIL,2023-11-13 00:00:00+00:00,5.359,-1.0,4.157196000000001,5.506725214285714,3984.1392697024494,3.0,0.9630681872367859,0.9630681872367859,False,8.14,2023-11-18 04:00:00+00:00,2023-11-13 04:00:00+00:00,5.506725214285714,sl,-115.00543579234153,1
OP,2023-11-09 20:00:00+00:00,1.742,1.0,1.951447836337382,1.7578,3798.4755974362133,3.0,0.9616401195526123,0.9616401195526123,True,2.6,2023-11-15 00:00:00+00:00,2023-11-14 08:00:00+00:00,1.7578,sl,29.51428622361553,1
AVAX,2023-11-15 12:00:00+00:00,20.44,-1.0,13.959240000000005,21.236612142857144,3920.0209075259045,3.0,0.9530929923057556,0.9530929923057556,False,8.14,2023-11-20 16:00:00+00:00,2023-11-15 16:00:00+00:00,20.44,mss_invalidation,-5.096027179783675,1
LINK,2023-11-11 12:00:00+00:00,16.273,-1.0,11.589796,16.848657357142855,3676.448286983513,3.0,0.9460120797157288,0.9460120797157288,False,8.14,2023-11-16 16:00:00+00:00,2023-11-16 16:00:00+00:00,14.033,time,502.3915270613278,1
ATOM,2023-11-13 08:00:00+00:00,10.187,-1.0,8.205279999999998,10.089049999999999,3897.8851928581935,3.0,0.9455723166465759,0.9455723166465759,True,8.14,2023-11-18 12:00:00+00:00,2023-11-17 00:00:00+00:00,10.089049999999999,sl,32.411678732003836,1
NEAR,2023-11-16 04:00:00+00:00,1.846,-1.0,1.4377080000000002,1.8961870714285716,3916.1988871410667,3.0,0.9597986936569214,0.9597986936569214,False,8.14,2023-11-21 08:00:00+00:00,2023-11-17 00:00:00+00:00,1.722,mss_invalidation,257.9688883619348,1
SUI,2023-11-17 08:00:00+00:00,0.5534,1.0,0.6268131694641902,0.5251469122196941,1503.5926525858388,1.0,0.7750362753868103,0.7750362753868103,False,2.6,2023-11-22 12:00:00+00:00,2023-11-17 12:00:00+00:00,0.5536,mss_invalidation,-1.411268694626255,1
NEAR,2023-11-20 04:00:00+00:00,2.071,-1.0,1.5391080000000001,2.136379928571429,7516.199177060911,5.0,0.9804795980453491,0.9804795980453491,False,8.14,2023-11-25 08:00:00+00:00,2023-11-20 08:00:00+00:00,2.071,mss_invalidation,-9.771058930179183,1
