asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
APT,2025-12-06 00:00:00+00:00,1.743,1.0,1.8905074701034612,1.6862316908328445,0.0,0.0,0.707414984703064,0.707414984703064,False,2.6,2025-12-11 04:00:00+00:00,True,1.816,1.7951704800000001,2025-12-06 16:00:00+00:00,1.7951704800000001,trailing_sl_hit,0.0
SUI,2025-12-06 08:00:00+00:00,1.5232,1.0,1.6575105535862686,1.471510529459632,3328.515424534034,2.0,0.8629952669143677,0.8629952669143677,False,2.6,2025-12-11 12:00:00+00:00,True,1.5619,1.543985007,2025-12-06 16:00:00+00:00,1.543985007,trailing_sl_hit,41.09258357110191
NEAR,2025-12-07 12:00:00+00:00,1.699,1.0,1.8147922997637562,1.6544372868875432,5030.255883488971,3.0,0.9443342685699463,0.9443342685699463,False,2.6,2025-12-12 16:00:00+00:00,True,1.773,1.7526636899999999,2025-12-07 20:00:00+00:00,1.7526636899999999,trailing_sl_hit,152.34359398608905
FIL,2025-12-07 12:00:00+00:00,1.457,1.0,1.5495912691125624,1.4213662128604436,3353.503922325981,2.0,0.9099280834197998,0.9099280834197998,False,2.6,2025-12-12 16:00:00+00:00,True,1.502,1.48477206,2025-12-07 20:00:00+00:00,1.48477206,trailing_sl_hit,59.562004366365684
ATOM,2025-12-07 12:00:00+00:00,2.199,1.0,2.3228807324678415,2.1513244503098345,3353.503922325981,2.0,0.9088256359100342,0.9088256359100342,False,2.6,2025-12-12 16:00:00+00:00,True,2.237,2.2113416100000003,2025-12-07 20:00:00+00:00,2.2113416100000003,trailing_sl_hit,14.46156247388166
ICP,2025-12-07 12:00:00+00:00,3.425,1.0,3.81875,3.32,2515.1279417444857,2.0,0.8701306581497192,0.8701306581497192,False,3.75,2025-12-12 16:00:00+00:00,True,3.521,3.48061413,2025-12-07 20:00:00+00:00,3.48061413,trailing_sl_hit,37.57023216297631
ARB,2025-12-09 16:00:00+00:00,0.2265,1.0,0.24684879385554243,0.21866875850450207,8713.681547051594,5.0,0.9744876623153687,0.9744876623153687,False,2.6,2025-12-14 20:00:00+00:00,False,,,2025-12-10 04:00:00+00:00,0.21866875850450207,sl,-312.6034792112779
SUI,2025-12-11 12:00:00+00:00,1.5417,1.0,1.7023831012714328,1.4798610438812616,4993.756318822498,3.0,0.9269253015518188,0.9269253015518188,False,2.6,2025-12-16 16:00:00+00:00,True,1.5807,1.562569371,2025-12-11 16:00:00+00:00,1.562569371,trailing_sl_hit,61.10658166267953
FIL,2025-12-11 12:00:00+00:00,1.374,1.0,1.5127804769227369,1.3205902776666878,1664.5854396074992,1.0,0.8302298188209534,0.8302298188209534,False,2.6,2025-12-16 16:00:00+00:00,True,1.397,1.3809764100000002,2025-12-11 20:00:00+00:00,1.3809764100000002,trailing_sl_hit,6.287880636466746
NEAR,2025-12-11 16:00:00+00:00,1.661,1.0,1.8321342077390805,1.5951389313558542,1679.8620850231691,1.0,0.8484438061714172,0.8484438061714172,False,2.6,2025-12-16 20:00:00+00:00,True,1.726,1.70620278,2025-12-11 20:00:00+00:00,1.70620278,trailing_sl_hit,43.53227577330096
ICP,2025-12-12 12:00:00+00:00,3.278,1.0,3.7251071428571434,3.1587714285714283,2538.4756861884166,2.0,0.8903220295906067,0.8903220295906067,False,3.75,2025-12-17 16:00:00+00:00,True,3.33,3.2918049000000003,2025-12-12 16:00:00+00:00,3.2918049000000003,trailing_sl_hit,7.390464524447754
AVAX,2025-12-12 12:00:00+00:00,12.91,1.0,14.225434581875021,12.403754472362163,5076.951372376833,3.0,0.9231462478637695,0.9231462478637695,False,2.6,2025-12-17 16:00:00+00:00,True,13.47,13.3154991,2025-12-14 00:00:00+00:00,13.3154991,trailing_sl_hit,152.86543279318133
TRX,2025-12-12 12:00:00+00:00,0.2751,-1.0,0.26401719999999995,0.27646229285714286,1692.3171241256111,1.0,0.8076013922691345,0.8076013922691345,False,8.14,2025-12-17 16:00:00+00:00,True,0.2706,0.273703782,2025-12-14 00:00:00+00:00,0.273703782,trailing_sl_hit,6.389023109092613
POL,2025-12-12 16:00:00+00:00,0.1178,1.0,0.1271868390065839,0.11418747123481737,5082.494220770169,3.0,0.9333223700523376,0.9333223700523376,False,2.6,2025-12-17 20:00:00+00:00,True,0.1221,0.12069951300000001,2025-12-14 00:00:00+00:00,0.12069951300000001,trailing_sl_hit,118.49257131221786
ICP,2025-12-12 16:00:00+00:00,3.285,1.0,3.735964285714286,3.164742857142857,2541.2471103850844,2.0,0.8525601625442505,0.8525601625442505,False,3.75,2025-12-17 20:00:00+00:00,False,,,2025-12-14 16:00:00+00:00,3.175,mss_invalidation,-88.39865385913534
ICP,2025-12-14 16:00:00+00:00,3.138,-1.0,2.8255714285714286,3.2213142857142856,3918.379125590015,3.0,0.9555076360702515,0.9555076360702515,False,3.75,2025-12-19 20:00:00+00:00,True,3.031,3.0657655700000004,2025-12-15 00:00:00+00:00,3.0657655700000004,trailing_sl_hit,85.10428516760975
NEAR,2025-12-14 20:00:00+00:00,1.591,1.0,1.6774185178383914,1.5577417986697473,5224.505500786687,3.0,0.9647555351257324,0.9647555351257324,False,2.6,2025-12-20 00:00:00+00:00,True,1.647,1.6281089100000001,2025-12-15 00:00:00+00:00,1.6281089100000001,trailing_sl_hit,115.06590804269128
SUI,2025-12-14 20:00:00+00:00,1.5535,1.0,1.653030292958699,1.5151957267437781,5224.505500786687,3.0,0.95184725522995,0.95184725522995,False,2.6,2025-12-20 00:00:00+00:00,True,1.6046,1.586195238,2025-12-15 00:00:00+00:00,1.586195238,trailing_sl_hit,103.16401718468964
FIL,2025-12-15 12:00:00+00:00,1.258,-1.0,1.106796,1.2765859285714285,5452.006158582929,3.0,0.9516616463661194,0.9516616463661194,False,8.14,2025-12-20 16:00:00+00:00,True,1.224,1.2380392800000002,2025-12-15 16:00:00+00:00,1.2380392800000002,trailing_sl_hit,79.41952106359453
APT,2025-12-15 12:00:00+00:00,1.554,-1.0,1.322868,1.582410642857143,3634.6707723886193,2.0,0.9101989269256592,0.9101989269256592,False,8.14,2025-12-20 16:00:00+00:00,True,1.524,1.5414802800000003,2025-12-15 16:00:00+00:00,1.5414802800000003,trailing_sl_hit,24.557463621691753
ATOM,2025-12-15 12:00:00+00:00,2.057,-1.0,1.848116,2.0826759285714287,3634.6707723886193,2.0,0.8686317801475525,0.8686317801475525,False,8.14,2025-12-20 16:00:00+00:00,True,2.002,2.02496294,2025-12-15 16:00:00+00:00,2.02496294,trailing_sl_hit,51.88366188761106
POL,2025-12-15 16:00:00+00:00,0.1114,-1.0,0.09768039999999999,0.11308640714285714,3712.601095675068,2.0,0.8637132048606873,0.8637132048606873,False,8.14,2025-12-20 20:00:00+00:00,True,0.1101,0.11136284700000001,2025-12-15 20:00:00+00:00,0.11136284700000001,trailing_sl_hit,-3.588192299534166
