asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold,strategy_version,confidence_thresh,tp_atr_mult,sl_atr_mult,rr_ratio_implied
SUI,2025-01-04 08:00:00+00:00,5.14281702041626,-1.0,4.4068714653666,5.233296767198586,4023.466251199331,3.0,0.9284173250198364,0.9284173250198364,False,8.13,2025-01-09 12:00:00+00:00,2025-01-04 20:00:00+00:00,5.233296767198586,sl,-76.01704318408099,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2025-01-04 20:00:00+00:00,42.6832275390625,-1.0,37.877328441964366,43.27408175427344,2644.302312540847,2.0,0.8887785077095032,0.8887785077095032,False,8.13,2025-01-10 00:00:00+00:00,2025-01-05 20:00:00+00:00,42.43097686767578,mss_invalidation,12.189787399207171,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2025-01-05 20:00:00+00:00,5.92227840423584,-1.0,5.356430373721193,5.991845760362867,3975.5958093606764,3.0,0.9476109147071838,0.9476109147071838,False,8.13,2025-01-11 00:00:00+00:00,2025-01-06 00:00:00+00:00,5.915141582489014,mss_invalidation,-0.3773618844120354,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2025-01-06 00:00:00+00:00,6.255785942077637,-1.0,5.536405959882014,6.212608170509339,2650.208525298245,2.0,0.8576205372810364,0.8576205372810364,True,8.13,2025-01-11 04:00:00+00:00,2025-01-07 16:00:00+00:00,5.536405959882014,tp,302.10877450195034,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-01-07 16:00:00+00:00,0.25395897030830383,-1.0,0.23568973155091275,0.2524220868945122,4201.8943688238305,3.0,0.9484964609146118,0.9484964609146118,True,8.13,2025-01-12 20:00:00+00:00,2025-01-12 20:00:00+00:00,0.23341338336467743,time,335.7364270765652,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2025-01-12 20:00:00+00:00,0.23341338336467743,-1.0,0.2219218104452131,0.2321104995906353,7422.827815218757,5.0,0.9846543073654175,0.9846543073654175,True,8.13,2025-01-18 00:00:00+00:00,2025-01-13 08:00:00+00:00,0.2219218104452131,tp,358.0230856864267,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2025-01-13 08:00:00+00:00,33.450687408447266,-1.0,28.56751269207225,34.0510421613225,7870.3566723267895,5.0,0.9849448800086975,0.9849448800086975,False,8.13,2025-01-18 12:00:00+00:00,2025-01-13 12:00:00+00:00,34.0510421613225,sl,-151.48434668238698,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ADA,2025-01-15 04:00:00+00:00,1.0505783557891846,-1.0,0.8684392771311399,1.0729711776536144,3072.4004955895225,2.0,0.8736573457717896,0.8736573457717896,False,8.13,2025-01-20 08:00:00+00:00,2025-01-15 12:00:00+00:00,1.0017212629318237,mss_invalidation,138.8877077132754,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2025-01-15 12:00:00+00:00,5.504956245422363,-1.0,4.595572191806867,5.616759134011673,1570.9221747230802,1.0,0.8268923759460449,0.8268923759460449,False,8.13,2025-01-20 16:00:00+00:00,2025-01-15 20:00:00+00:00,5.51798677444458,mss_invalidation,-5.760656536298868,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2025-01-15 20:00:00+00:00,5.656716346740723,-1.0,4.82925050083777,5.758447921440253,3138.964021178011,2.0,0.9032906293869019,0.9032906293869019,False,8.13,2025-01-21 00:00:00+00:00,2025-01-16 16:00:00+00:00,5.571372985839844,mss_invalidation,43.27716408084774,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2025-01-16 16:00:00+00:00,5.746748924255371,-1.0,4.8492786209636085,5.857087094286191,3160.602603218435,2.0,0.8969566822052002,0.8969566822052002,False,8.13,2025-01-21 20:00:00+00:00,2025-01-17 04:00:00+00:00,5.776549816131592,mss_invalidation,-20.498707092990973,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
NEAR,2025-01-17 04:00:00+00:00,5.411990642547607,-1.0,4.577868979106154,5.514540506971671,3150.3532496719395,2.0,0.892392098903656,0.892392098903656,False,8.13,2025-01-22 08:00:00+00:00,2025-01-17 08:00:00+00:00,5.410299301147461,mss_invalidation,-3.1109189272628925,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
NEAR,2025-01-17 08:00:00+00:00,5.591366291046143,-1.0,4.734703416694345,5.696687451582182,7871.99447552077,5.0,0.9734510183334351,0.9734510183334351,False,8.13,2025-01-22 12:00:00+00:00,2025-01-17 20:00:00+00:00,5.598045825958252,mss_invalidation,-19.63760235541216,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
NEAR,2025-01-17 20:00:00+00:00,5.753044128417969,-1.0,4.995348744016104,5.707306575775147,3138.978989030602,2.0,0.8853327035903931,0.8853327035903931,True,8.13,2025-01-23 00:00:00+00:00,2025-01-19 08:00:00+00:00,4.995348744016104,tp,410.2751785653203,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
DOT,2025-01-19 20:00:00+00:00,6.232100963592529,-1.0,4.759824772099478,6.413107800424297,1672.058289156631,1.0,0.8264402151107788,0.8264402151107788,False,8.13,2025-01-25 00:00:00+00:00,2025-01-20 04:00:00+00:00,6.413107800424297,sl,-50.73739187849255,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-01-22 20:00:00+00:00,12.87366771697998,-1.0,10.984758212701283,12.770070457458496,1659.3739411870079,1.0,0.843926727771759,0.843926727771759,True,8.13,2025-01-28 00:00:00+00:00,2025-01-27 04:00:00+00:00,10.984758212701283,tp,241.81492394878802,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-01-27 04:00:00+00:00,10.639260292053223,-1.0,9.026668299488158,10.837518049232893,8599.138360871024,5.0,0.9847880601882935,0.9847880601882935,False,8.13,2025-02-01 08:00:00+00:00,2025-01-27 12:00:00+00:00,10.837518049232893,sl,-171.41989647226518,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2025-01-26 20:00:00+00:00,3.8740227222442627,-1.0,3.36513991983347,3.9365865719585282,8296.86970593504,5.0,0.9929973483085632,0.9929973483085632,False,8.13,2025-02-01 00:00:00+00:00,2025-01-27 20:00:00+00:00,3.9365865719585282,sl,-144.77691275636738,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2025-01-28 20:00:00+00:00,32.16805648803711,-1.0,26.222244950376073,32.8990555662321,4922.335409601141,3.0,0.9365431666374207,0.9365431666374207,False,8.13,2025-02-03 00:00:00+00:00,2025-01-29 04:00:00+00:00,32.8990555662321,sl,-118.25604698753028,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-01-31 12:00:00+00:00,12.552838325500488,-1.0,10.80558494130811,12.767651829952758,3222.4289162403284,2.0,0.8919274210929871,0.8919274210929871,False,8.13,2025-02-05 16:00:00+00:00,2025-01-31 16:00:00+00:00,12.01467514038086,time,134.92900460159285,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
